state,school_name,school_location,program_name,program_url
Nebraska,Creighton University,"Omaha, Nebraska",Graduate Certificate in Business Analytics,https://www.creighton.edu/program/business-analytics-graduate-certificate
Nebraska,Nebraska Methodist College of Nursing & Allied Health,"Omaha, Nebraska",Certificate in Nursing Informatics,http://www.methodistcollege.edu/nursing/certificates/nursing-informatics-certificate
Nebraska,University of Nebraska at Omaha,"Omaha, Nebraska",Doctor of Philosophy in Biomedical Informatics,http://unomaha.smartcatalogiq.com/en/2016-2017/Graduate-Catalog/Graduate-Degree-Programs-Certificates-Minors/Biomedical-Informatics/Biomedical-Informatics-PhD
Nebraska,University of Nebraska-Lincoln,"Lincoln, Nebraska",Business Analytics Graduate Certificate,http://cba.unl.edu/academic-programs/programs-and-degrees/business-analytics/
Nevada,University of Nevada-Las Vegas,"Las Vegas, Nevada",Graduate Certificate in Data Analytics,https://www.unlv.edu/certificate/data-analytics
Nevada,University of Nevada-Reno,"Reno, Nevada",Master of Science in Information Systems - Data Analytics Track,http://www.unr.edu/business/degree-programs/information-systems/msis#dataanalyticstrack
Nevada,Western Governors University,"Las Vegas, Nevada",Master of Science in Data Analytics,http://nevada.wgu.edu/online_it_degrees/data_analytics_master_degree
New-Hampshire,Dartmouth College,"Hanover, New Hampshire",Masters of Science in Quantitative Biomedical Sciences - Health Data Science Concentration,http://www.dartmouth.edu/~qbs/program/the-ms-curriculum.html
New-Hampshire,New England College,"Henniker, New Hampshire",Master of Business Administration (MBA) - Healthcare Informatics,http://catalog.nec.edu/preview_program.php?catoid=12&poid=866&returnto=254
New-Hampshire,Southern New Hampshire University,"Manchester, New Hampshire",Master of Business Administration (MBA) - Healthcare Informatics,http://www.snhu.edu/campus-majors/graduate/master-of-business-administration/mba-in-health-informatics
New-Hampshire,University of New Hampshire-Main Campus,"Durham, New Hampshire",Graduate Certificate in Analytics,http://www.unh.edu/analytics/graduate-certificate-analytics
New-Jersey,New Jersey Institute of Technology,"Newark, New Jersey",Graduate Certificate in Data Mining,http://www5.njit.edu/graduatestudies/degree-programs/graduatecertificates/data-mining-cert/
New-Jersey,Rowan University,"Glassboro, New Jersey",Master of Science in Data Analytics,https://rowanu.com/programs/649
New-Jersey,Rutgers University,"New Brunswick, New Jersey | Newark, New Jersey | Camden, New Jersey","Master of Business & Science (MBS), Concentration in Drug Discovery & Development",http://mbs.rutgers.edu/program/drug-discovery-development-onlinehybrid
New-Jersey,Saint Peter's University,"Jersey City, New Jersey",Master of Science in Data Science with a concentration in Business Analytics,http://www.saintpeters.edu/data-science-and-business-analytics/
New-Jersey,Stevens Institute of Technology,"Hoboken, New Jersey",BI&A Graduate Certificate,https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics
New-Jersey,Thomas Edison State University,"Trenton, New Jersey",MBA in Data Analytics,https://www.tesu.edu/business/mba/data-analytics
New-Mexico,New Mexico State University-Main Campus,"Las Cruces, New Mexico",Master of Science in Applied Statistics,http://business.nmsu.edu/academics/graduate-programs/ms-astat/
New-Mexico,University of New Mexico-Main Campus,"Albuquerque, New Mexico",Master of Science in Statistics - Applied Statistics Concentration,http://math.unm.edu/graduate/graduate-studies-statistics
New-Mexico,University of Phoenix,"Albuquerque, New Mexico",Graduate Certificate in Business Analytics,http://www.phoenix.edu/programs/continuing-education/certificate-programs/technology/cert-g-ba.pdf
New-York,Syracuse University,"Syracuse, New York",Master of Science in Applied Data Science,https://requestinfo.ischoolonline.syr.edu/mids.html?s=mastersindatasciencesite&l=schools_new-york--listings-featured-program
New-York,Clarkson University,"Potsdam, New York",Master of Science in Data Analytics,https://www.clarkson.edu/graduate/data-analytics
New-York,Columbia University in the City of New York,"New York, New York",Master of Science in Applied Analytics,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics
New-York,Cornell University,"Ithaca, New York",Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),http://stat.cornell.edu/academics/mps
New-York,CUNY Bernard M Baruch College,"New York, New York",Advanced Certificate in Business Analytics of Large-Scale Data,http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm
New-York,CUNY City College,"New York, New York",Master's in Data Science and Engineering,https://www.ccny.cuny.edu/dse
New-York,CUNY Graduate School and University Center,"New York, New York",Online Master of Science in Data Analytics,https://sps.cuny.edu/academics/graduate/master-science-data-analytics-ms
New-York,CUNY Lehman College,"Bronx, New York",Master of Science in Geographic Information Science,http://www.lehman.edu/academics/eggs/geographic-information-science.php
New-York,CUNY Queens College,"Flushing, New York",MA in Data Analytics & Applied Social Research,https://www.qc.cuny.edu/Academics/Degrees/DSS/Sociology/Pages/DAASR.aspx
New-York,Fordham University,"Bronx, New York",Master of Science in Business Analytics,http://www.fordham.edu/info/21535/business_analytics
New-York,Icahn School of Medicine at Mount Sinai,"New York, New York",Master of Science in Biostatistics,http://icahn.mssm.edu/education/masters/biostatistics
